|position|salary|experience|job_desc|Posted:|Job Applicants:|key_skills|UG :|PG :|Openings:|Doctorate :
10|Python Developer|Not Disclosed|0 - 2 years|"Job description
POSITION RESPONSIBILITIES / REQUIREMENTS:
The Developer is responsible for Developing, designing and testing of the apps as per the business requirement.
The person will report to the Development Manager- IT. The person will have to work as part of a multi-functional team and this involves working with the possible stakeholders at branches across India.

JOB SUMMARY
The person will be responsible for the development and maintenance of web applications
The primary focus will be the development of applications and their integration with front-end and back-end services
The person will be working with different stakeholders, Therefore, commitment to collaborative problem solving and creating quality products is essential

General Duties Responsibilities
Should be able to do programming in Python and SQL
Should be able to create and customized web applications in Django Python.
Writing effective and scalable Python codes
Designing and implementing robust web applications
Debugging applications to ensure low-latency and high-availability
Integrating user-facing elements with server-side logic
Implementing security and data protection


Core Competencies, Knowledge, Skills Abilities
Problem solver
Ability to design applications in Django Python
Knowledge on Django REST Framework
Knowledge of Bitbucket or Code Commit
RoleFull Stack Developer
Industry TypeManagement Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer scienceFront endHP data protectorDjangoDebuggingProgrammingCustomer serviceSQLPythonService operations"|5 days ago|561|['Computer science', 'Front end', 'HP data protector', 'Django', 'Debugging', 'Programming', 'Customer service', 'SQL', 'Python', 'Service operations']|Any Graduate|Any Postgraduate|1|
11|"Software Developer (java/python/C++/C#) Fresher|"|₹ 3,00,000 - 4,00,000 P.A.|0 - 1 years|"Job description
Still waiting to see yourself as a Full Stack Developer???

Wait no longer, Soft Suave is hiring for freshers...

Grab this opportunity to join our creative & dedicated team!!!

Outside : Bangalore can also apply!!!

Skills Required: JAVA / Python / C++/ C# with Logical and analytical thinking towards the programming.

Eligibility: B.E. / B.Tech / B.Sc / M.E. / M.Tech / MCA - 2019, 2020 and 2021 passed outs only. Immediate Joiners.

Job Location: Bangalore

Salary Package: 4 L Per Annum

What will you be doing?
Execute full software development life cycle (SDLC)
Code, test and troubleshoot programs utilizing the appropriate framework, database, and programming technology.
Write quality and clean code using prescribed specifications.
Analyze performance of programs and take action to correct deficiencies .

Interview Process: Level 1: MCQ Programming test
Level 2 & 3: Programming Test
Level 4: Technical Interview

Why join Soft Suave? Flexible Working schedules Office Location: Nearer from main city points Complimentary snacks and beverages Casual Dress Code Great work culture Goal Based Incentives Health Insurance and PF schemes Annual Health check-ups Festival celebrations, Annual day, Fun @work games, Team Lunch, Sports club Mentorship programs Skills and career development programs The reasons are growing with growing us ! Join the smart technology team and experience the growth!
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Any Specialization
Key Skills
java
C#c++Software DevelopmentPython
Skills highlighted with ‘‘ are preferred keyskills"|11 days ago|5408|['java', 'C#', 'c++', 'Software Development', 'Python']|B.Tech/B.E. in Any Specialization|MCA in Any Specialization||
12|Python Developer|Not Disclosed|0 - 5 years|"Job description
We are seeking software engineers with 0 - 5 years of experience.

Key Competencies:

Demonstrable fluency in Python (must have). ML experience is a plus!

Salary commensurate with experience (5 lac CTC - 15+ lac CTC)
Interview Process
First Round: Online programming challenge (can be given from any location)
Second Round (shortlisted candidates): Zoom Interview (will include live coding)

If this interests you, click APPLY and submit your resume and we will revert to you with instructions for online programming test.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization
PG :MCA in Any Specialization, M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization
Doctorate :Ph.D/Doctorate in Computers
Key Skills
Python
Skills highlighted with ‘‘ are preferred keyskills"|9 days ago|6237|['Python']|BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization|MCA in Any Specialization, M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization|3|Ph.D/Doctorate in Computers
13|Python Django Developer|₹ 3,00,000 - 8,00,000 P.A.|0 - 2 years|"Job description
Please Apply Here: https://careers.keywordio.com/jobs/1828787-python-django-developer

Required Skills:
Expert in Python and Django framework
Expert in developing backend applications with RESTful API's Using Django Rest Framework
Good understanding of front-end technologies, such as JavaScript, ReactJS, HTML5, and CSS3
Understanding of fundamental design principles behind a scalable application
Proficient understanding of GitHub
Strong programming basics, with a clear understanding of Object-Oriented and Functional programming.
Good communication skills and ability to work with global teams to define and deliver on projects.

Experience required: 0-2 years.
RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Any Specialization, B.Tech/B.E. in Computers
PG :MS/M.Sc(Science) in Any Specialization
Key Skills
python
CSSDjangoMySQLJavascriptHTML
Skills highlighted with ‘‘ are preferred keyskills"|9 days ago|2450|['python', 'CSS', 'Django', 'MySQL', 'Javascript', 'HTML']|B.Sc in Any Specialization, B.Tech/B.E. in Computers|MS/M.Sc(Science) in Any Specialization||
14|"Software Developer (java/python/C++/C#) Fresher| Porur"|₹ 4,00,000 P.A.|0 - 1 years|"Job description
Still waiting to see yourself as a Full Stack Developer???

Wait no longer, Soft Suave is hiring for freshers...

Grab this opportunity to join our creative & dedicated team!!!

Outside chennai can also apply!!!

Skills Required: JAVA / Python / C++/ C# with Logical and analytical thinking towards the programming.

Eligibility: B.E. / B.Tech / B.Sc / M.E. / M.Tech / MCA - 2018, 2019, 2020 and 2021 passed outs only. Immediate Joiners.

Job Location: Chennai, Porur

Salary Package: 4 L Per Annum

What will you be doing?
Execute full software development life cycle (SDLC)
Code, test and troubleshoot programs utilizing the appropriate framework, database, and programming technology.
Write quality and clean code using prescribed specifications.
Analyze performance of programs and take action to correct deficiencies .

Interview Process: Level 1: MCQ Programming test
Level 2 & 3: Programming Test
Level 4: Technical Interview

Why join Soft Suave? Flexible Working schedulesOffice Location: Nearer from main city pointsComplimentary snacks and beveragesCasual Dress CodeGreat work cultureGoal Based Incentives Health Insurance and PF schemesAnnual Health check-upsFestival celebrations, Annual day, Fun @work games, Team Lunch, Sports club Mentorship programs Skills and career development programs The reasons are growing with growing us ! Join the smart technology team and experience the growth!
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization
PG :MCA in Any Specialization
Key Skills
java
C#c++Software DevelopmentPython
Skills highlighted with ‘‘ are preferred keyskills"|13 days ago|4041|['java', 'C#', 'c++', 'Software Development', 'Python']|B.Tech/B.E. in Any Specialization|MCA in Any Specialization||
15|Python Developer|₹ 3,00,000 - 4,00,000 P.A.|0 - 1 years|"Job description
Work from office
Location: North Delhi, https://g.page/bonami-software

The ideal candidate should be able to join immediately.

Required Skills:

Absolute clarity in OOP fundamentals and Data-Structures
Must have hands-on experience in Data Structure like List, Dict, Set, Strings, Lambda, etc
Strong knowledge of various Python Web Frameworks (Django, Flask, ORM, etc.)
Must have hands-on experience in working with RDBMS - SQL
Excellent written and verbal communication and presentation skills.

Roles and responsibilities:

Maintain and improve existing projects
Collaborate with the technical team to develop new features and troubleshooting issues
Lead projects to understand the requirements and distribute work to the technical team
Follow the project/task timelines and quality.
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Computers, B.Tech/B.E. in Computers
PG :MCA in Computers
Key Skills
Full Stack DeveloperSoftware DevelopmentDjango FrameworkPython
CSSData StructuresHTMLORMBackend DevelopmentBackend Programming LanguageTesting ToolsFront EndSoftware EngineeringDjangoFrontend DevelopmentWeb DevelopmentFlask
Skills highlighted with ‘‘ are preferred keyskills"|4 days ago|859|['Software Development', 'Python', 'CSS', 'Data Structures', 'HTML', 'ORM', 'Testing Tools', 'Front End', 'Software Engineering', 'Django', 'Web Development']|B.Sc in Computers, B.Tech/B.E. in Computers|MCA in Computers|5|
16|"Walk in | Full Stack Developer (dot net Core/Mobile/Python/Angular)"|Not Disclosed|0 - 2 years|"Job description
Roles and Responsibilities

Design, develop, maintain and test codes based on the logic to meet the requirement with best design and coding practices meeting architectural requirements and deadline
Designing relational databases, NO SQL Databases, version control tools and of developing web services with security aspects on encrypting data
Well versed with agile web development and object-oriented programming paradigms and have experience in C# or Python or any programming language
Should have excellent logical skills.
Working knowledge of back end technologies and protocols such as HTTP, REST, XML, JSON,XML / JSON and third-party APIs.
Troubleshooting of issues faced by clients and resolving them

Desired Candidate Profile

Aspiring Rockstar Software Engineer in our team with excellent logical, analytical skill with basic computer and coding skills.
Passionate to learn various technologies and ready to work hard and to be a part of our growth.
Candidate should be a self learner and able to work independently. Self-starter, confident, self-motivated independent developer eager to deliver great quality software solution quickly
Freshers can walk in if they are exceptionally well in logical with a basic technology / computer knowledge. We value logical, attitude, and problem solving skill and desire to learn and just need an opportunity to prove themselves.
Immediate Joinee.

Process

A written programming and logical questions round followed by direct F2F interview on same day. Pseudo code is fine and not exact syntax is required.
Freshers who are selected, will be hired as trainee. Offer will be given upon successful completion of training. Stipend will be provided during training period.

Interview Date: 31st May - 2nd June
Interview Time: 10.30 AM - 12.30 PM

Interview Venue:
4/14, M V Square, Soundarapandian St, Ashok Nagar, Chennai, Tamil Nadu 600083
Google Map URL:
https://www.google.co.in/maps?q=13.0379631,80.2086719

Contact Person: Ariya
Contact Number: 04445002652
RoleSoftware Development - Other
Industry TypeSoftware Product
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
Key Skills
C#Web Technologies.NetSQLPython
CSSRESTXMLAngular
Skills highlighted with ‘‘ are preferred keyskills"|13 days ago|896|['C#', 'Web Technologies', '.Net', 'SQL', 'Python', 'CSS', 'REST', 'XML']|Any Graduate|||
17|Python Developer (DM- 3396) - Fresher|Not Disclosed|0 - 1 years|"Job description
Job Description:
1) Should have good command over the python language.
2) Candidate must have knowledge of one of Python frameworks such as Django/Flask
3) Candidate should have Good Communication and Presentation Skills.
4) Candidate should have very Good Logical and Analytical Skills
5) Candidate should have basic database knowledge
6) Candidate should have knowledge of UML diagrams
7) Candidate must have good knowledge of Data Structure
8) Candidate can work in team as well as individual

You can also apply at https://careers.oodles.io/jobs/650//?ref=1406

RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Any Graduate
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
pythondjangoflask
Skills highlighted with ‘‘ are preferred keyskills"|5 days ago|1533|['python', 'django']|Any Graduate|Any Postgraduate|2|Doctorate Not Required
18|Freshers/ Junior Developers- Python & SQL|Not Disclosed|0 - 1 years|"Job description
Role: Freshers/ Junior Developers- Python & SQL
Experience: 0 to 1 Year
Qualification: B.E, BSc
Work Location: Chennai(Currently Remote)
Employment: Full Time

Freshers who have undergone training in Python & SQL or experience in both and can write clean, understandable, and maintainable code in python in line with coding standards.

Skills:
1. Good understanding of Python Frameworks like Flask or Django
2. Ability to write complex SQL queries and knowledge about databases
3. Familiar with usage of Git and GitHub would be added advantage
4. Good to have Knowledge in any cloud platforms (Azure, GCP, AWS)
5. The ideal candidate should have good communication (written and oral)
6. Willingness to learn new and different technologies



RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization
Key Skills
python
clouddjangosql queriesflask
Skills highlighted with ‘‘ are preferred keyskills"|3 days ago|1380|['python', 'cloud', 'django', 'sql queries']|B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization|||
19|Python Developer (Internship cum placement)|₹ 1,00,000 - 3,00,000 P.A.|0 years|"Job description
Will be Developing coding as required in the project
Should have interest in learning and adopting new technologies.
Ensure the best possible performance, quality and responsiveness of the applications.

Required Skills
Computer Science / IT Engineering background from 2022 passed out.
Should have strong Programming Skills in any one of the Language.
Should have knowledge on basic concepts.
Good at Problem-solving & Analytical skills
Good in Communications.

Details for Training Stipend will be provided
Training Period 8 Weeks
Training mode In Person at Office
Project Evaluation period 4 Weeks

Interview Mode
1st Round Online Assessment
2nd Round F2F Discussion (Technical) at Chennai Office
3rd Round – HR Discussion


RoleBack End Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers, BCA in Computers, B.Sc in Computers, Diploma in Computers
PG :MS/M.Sc(Science) in Computers, M.Tech in Computers, MCA in Computers
Key Skills
ConceptsProblem SolvingProgramming
Analytical
Skills highlighted with ‘‘ are preferred keyskills"|1 day ago|1479|['Concepts', 'Problem Solving', 'Programming', 'Analytical']|B.Tech/B.E. in Computers, BCA in Computers, B.Sc in Computers, Diploma in Computers|MS/M.Sc(Science) in Computers, M.Tech in Computers, MCA in Computers||
20|Urgent hiring For Python Trainer|Not Disclosed|0 - 5 years|"Job description
Job description
Greeting from Seven Mentor Pvt Ltd.!
We are looking for an expert Trainer who is confident in his/her conduct and who is an experienced and professional ""Python/ Machine Learning"" with the capability of imparting the knowledge of Artificial Intelligence to the student.


Designation: Trainer for Python
Experience: 1 to 5 Years
Salary: Best In the market
Position: 5
Joining: Immediately

Required Candidate profile
Desired Candidate Profile
Should have strong knowledge of Machine Learning, Deep Learning, and Python.
A good number of Data Science projects were delivered as a Data Scientist.
Should stay up-to-date with the latest development in the field.
Facilitating the student's available resources such as curriculum, data, hardware, etc.
Upgrading the student's knowledge quality by taking them through the important functionalities of Python and Machine Learning as per the syllabus.

Thanks & Regards,
Email Id: sbhutada@sevenmentor.com
Contact No: 8983120543
RoleBusiness Development Manager (BDM)
Industry TypeEducation / Training
Functional AreaSales & Business Development
Employment TypeFull Time, Permanent
Role CategoryBD / Pre Sales
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
TrainingData SciencePython
Skills highlighted with ‘‘ are preferred keyskills"|2 days ago|30|['Training', 'Data Science', 'Python']|Any Graduate|Any Postgraduate||
21|Software Testing - JAVA or python|Not Disclosed|0 - 1 years|"Job description
Automation testing or manual testing or JAVA or
python
RoleSoftware Development - Other
Industry TypeRecruitment / Staffing
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Production/Industrial, BCA in Computers, B.Sc in Chemistry
PG :MCA in Computers
Key Skills
Software testingAutomation testingManual testingPython"|10 days ago|2775|['Software testing', 'Automation testing', 'Manual testing', 'Python']|B.Tech/B.E. in Production/Industrial, BCA in Computers, B.Sc in Chemistry|MCA in Computers|1|
22|Opening For Python Developer in Pune|₹ 2,00,000 - 7,00,000 P.A.|0 - 5 years|"Job description
Looking for Python Engineers, Expert in Python,Python web framework (such as Django, Flask, ,stack etc.programming languages (Python preferred) along withJavaScript, Jquery, HTML and Bootstrap.database queries like MongoDB and MySQL, etc.
RoleSoftware Development - Other
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :Graduation Not Required, Any Graduate
PG :Any Postgraduate, Post Graduation Not Required
Doctorate :Doctorate Not Required, Any Doctorate
Key Skills
Css/Css3BootstrapMongoDBFlask
DjangoMySQLJQueryPython
Skills highlighted with ‘‘ are preferred keyskills"|2 days ago|3077|['Bootstrap', 'MongoDB', 'Django', 'MySQL', 'JQuery', 'Python']|Graduation Not Required, Any Graduate|Any Postgraduate, Post Graduation Not Required|10|Doctorate Not Required, Any Doctorate
23|Python Developer / Machine Learning / Deep Learning / (0 To 3 yrs)|₹ 2,50,000 - 4,00,000 P.A.|0 - 3 years|"Job description
Roles and Responsibilities:

Research and Developing new technology algorithms in python language related to domains like machine learning, deep learning and data science. Web interface with front end and back end development. Candidate will be working on research projects.

Desired Candidate Profile

Candidate must have strong technical and analytical skills and should be able to work Python development and Django framework. Candidate should have good communication skills to be able to collaborate in team and understand project specifications in detail.
RoleFull Stack Developer
Industry TypeEducation / Training
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization
PG :M.Tech in Any Specialization, MCA in Any Specialization, Any Postgraduate
Key Skills
Python DeveloperMachine LearningDeep LearningPython
BlockchainBig DataPrediction AnalysisData MiningStatisticsData ScienceAlgorithmsImage ProcessingComputer VisionData Analytics
Skills highlighted with ‘‘ are preferred keyskills"|4 days ago|1684|['Python Developer', 'Machine Learning', 'Deep Learning', 'Python', 'Big Data', 'Data Mining', 'Statistics', 'Data Science', 'Algorithms', 'Image Processing', 'Computer Vision', 'Data Analytics']|B.Tech/B.E. in Any Specialization|M.Tech in Any Specialization, MCA in Any Specialization, Any Postgraduate|4|
24|Python Developer - Django/Numpy/PostgreSQL|Not Disclosed|0 - 1 years|"Job description
Job Requirements :

a) Mandatory : Python, Django, Postgres, strong logical skills, strong operating system concepts, strong data structure concepts, multi-threading concepts.

b) Good to have : Knowledge of REDIS, micro-service architecture, MQTT, Message queues like Rabbit MQ, Kafka, 3rd party API integrations like payment gateways, email APIs, SMS API's. Experience with Pandas, NumPy, Scikit would be a great addition.

c) Soft Skills : Strong communication skills, high spirited, eager to learn, able to perform in a high-pressure environment

Location : - Bangalore,Chennai,Delhi NCR,Goa,Gujarat,Guwahati,Haryana,Hyderabad,Jaipur, Anywhere in India, Multiple Locations
RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Any Specialization
PG :Any Postgraduate
Doctorate :Doctorate Not Required
Key Skills
DjangoPostgreSQLNumpy
RabbitMQAPI IntegrationPayment GatewayMicroservices ArchitecturePandasRedis
Skills highlighted with ‘‘ are preferred keyskills"|12 days ago|2370|['Django', 'PostgreSQL', 'RabbitMQ', 'Payment Gateway', 'Pandas', 'Redis']|B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Any Specialization|Any Postgraduate||Doctorate Not Required
25|Junior Python Developer|₹ 2,00,000 - 3,00,000 P.A.|0 - 1 years|"Job description
Job description
Python Developer with experience to design, develop and deploy web applications using flask/Django and React JS. The Candidate should have the knowledge and exposure to design and develop web applications.

Must have:
Knowledge of python (Django/Flask) back end with knowledge of React JS to build the front end interface
Knowledge and understanding of PostgreSQL/MySQL or any other equivalent database
Must have understanding of web application architecture and should be familiar with latest development practices
Knowledge of Testing and debugging software applications with Python test framework tools like Robot, PyTest, PyUnit, etc.
Knowledge of using GitHub or similar environment.
Good communication skills
Good to have:
Knowledge of front-end interfaces using HTML, CSS would be an added advantage.
Familiar with deployments using AWS, Azure be a plus.
Knowledge micro-services architecture and containers
Certification on coding using Python.

Qualification
B.E,B. Tech, MCA, M. Tech degree in Computer Science Engineering or related subject with an aggregate Passing percentage of 70% and above

Selected candidates will have to sign a bond of two years sustenance with the company.

Interested candidates can directly mail resumes at hr@sujanix. Do not forget to mention the position applying for.


RoleFull Stack Developer
Industry TypeIT Services & Consulting
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers, BCA in Computers
Key Skills
djangoReact.Js
flaskPython
Skills highlighted with ‘‘ are preferred keyskills"|12 days ago|858|['django', 'React.Js', 'Python']|B.Tech/B.E. in Computers, BCA in Computers||3|
26|Python/Django Backend Developer (Freshers) - Bangalore|Not Disclosed|0 - 1 years|"Job description
Designation: Python/Django Developer (Backend)

Department: Software Engineering Team

Location: Whitefield (Bangalore)

Qualification: B.E/B.Tech (Computers) Graduate, Engineering or Relevant Field (Premium Colleges Only)

Experience: Freshers with excellent knowledge of Python/ Django and RDBMS concepts.

Responsibilities:
1. Help design and implement functional requirements
2. Build efficient back-end features in Python
3. Integrate front-end components into applications
4. Manage testing and bug fixes
5. Prepare technical documentation
6. Collaborate with UX/UI designers to implement design into the code
7. Coach junior team members
8. Implement software enhancements and suggest improvements

Skills Required:
1. Knowledge with Python frameworks (e.g. Django, Flask, FastAPI)
2. Familiarity with Amazon Web Services (AWS) cloud technologies
3. Excellent understanding of REST API Development and HTTP Methods
4. Understanding of databases and SQL
5. Good experience in working with RDBMS
6. Good understanding of computer science fundamentals - data structures, algorithms, memory management, performance.
7. Knowledge of web stack - javascript, html, web frameworks like React.js is a plus
8. Good understanding of Good Troubleshooting experience and exposure
9. Ability to work in a Team
10. Enjoys coding and problem solving
11. Good communication skills. Ability to express ideas clearly and concisely
12. Familiarity with code versioning tools {such as Git, SVN, and Mercurial}

Salary: Upto 9LPA (Negotiable)

IMMEDIATE JOINING PREFERRED!
RoleBack End Developer
Industry TypeEducation / Training
Functional AreaEngineering - Software & QA
Employment TypeFull Time, Permanent
Role CategorySoftware Development
Education
UG :B.Tech/B.E. in Computers
Key Skills
RDBMSDjangoAWSCode Versioning ToolsPython
React.JsSQL
Skills highlighted with ‘‘ are preferred keyskills"|13 days ago|2934|['RDBMS', 'Django', 'AWS', 'Python', 'React.Js', 'SQL']|B.Tech/B.E. in Computers|||
